Date,Quantile_0.025,Quantile_0.25,Quantile_0.5,Quantile_0.75,Quantile_0.975,Median,Mean,Std,Min,Max,Region,District,Day,Month,Year
2018-04-11,0.03688482427969575,0.08082666248083115,0.12001896649599075,0.1706675961613655,0.30707905665039975,0.12001897,0.13282081,0.07091232,0.016053474,0.6518588,Chittagong,Bandarban,11,4,2018
2018-01-05,0.037770078238099816,0.05212569888681173,0.06145564652979374,0.07126247696578503,0.10609366875141853,0.061455645,0.063518375,0.017751502,0.023524478,0.29891524,Chittagong,Bandarban,5,1,2018
2018-07-24,0.008967845537699758,0.01574088493362069,0.021534121595323086,0.03041501808911562,0.09161708112806051,0.021534123,0.027301062,0.02211426,0.003510232,0.27364022,Chittagong,Bandarban,24,7,2018
2019-06-30,0.006216304609552026,0.010299494490027428,0.013740966562181711,0.018739802297204733,0.04454654268920409,0.013740966,0.01634253,0.010632375,0.0033053884,0.17978674,Chittagong,Bandarban,30,6,2019
2017-01-13,0.04218996167182922,0.06143704429268837,0.07234533876180649,0.08437065593898296,0.1227225854992864,0.07234534,0.07445213,0.020854874,0.025222657,0.34088242,Chittagong,Bandarban,13,1,2017
2018-02-06,0.05932022472843528,0.08583289943635464,0.10336709395051003,0.12247732281684875,0.17115147039294237,0.10336709,0.106263354,0.029551106,0.03768443,0.37002096,Chittagong,Bandarban,6,2,2018
2018-03-10,0.06955479290336371,0.12621153518557549,0.16318165510892868,0.20044921711087227,0.2899895869195458,0.16318166,0.16586646,0.056145724,0.039333034,0.5207026,Chittagong,Bandarban,10,3,2018
2019-06-06,0.005992486327886582,0.01125648058950901,0.01647411473095417,0.023732697125524282,0.05372054036706686,0.016474115,0.01957255,0.013055763,0.002815673,0.17273164,Chittagong,Bandarban,6,6,2019
2020-12-30,0.043170709442347285,0.060928874649107456,0.07189368829131126,0.08511264622211456,0.12813281603157514,0.07189369,0.07514892,0.022478594,0.028110396,0.3216251,Chittagong,Bandarban,30,12,2020
2020-11-28,0.014054848137311638,0.02438387181609869,0.031555818393826485,0.040877144783735275,0.08222305383533199,0.031555817,0.035084646,0.018258031,0.007954704,0.26627353,Chittagong,Bandarban,28,11,2020
2019-05-05,0.025921808602288366,0.0496702017262578,0.07096584886312485,0.10153070837259293,0.2025376453995703,0.07096585,0.081854716,0.047196053,0.013936012,0.5640025,Chittagong,Bandarban,5,5,2019
2018-05-29,0.008034274424426257,0.015608427347615361,0.02195804752409458,0.031152381096035242,0.062353633344173286,0.021958048,0.025445925,0.015548512,0.0035083962,0.24214506,Chittagong,Bandarban,29,5,2018
2018-04-03,0.055948481895029545,0.11640783585608006,0.16210195422172546,0.21834632009267807,0.3659024648368351,0.16210195,0.17431712,0.08026452,0.021366375,0.7022017,Chittagong,Bandarban,3,4,2018
